datetime,do_observed,do_predicted,temp_observed,temp_predicted
2006-06-28,,10.700558790249964,22.22,24.101443784542425
2006-06-29,,10.73140815415216,22.34,24.221676111963852
2006-06-30,,10.747434444976955,22.84,24.251654970932208
2006-07-01,,10.755877591590039,22.4,24.160098113764256
2006-07-02,,10.683652733908376,22.4,24.057340747794907
2006-07-03,,10.65216732912084,22.76,24.009496094465256
2006-07-04,,10.618852179001461,23.28,23.904790993633405
2006-07-05,,10.537319630471362,24.07,23.871762168331195
2006-07-06,,10.53080835907849,24.16,23.83950306800648
2006-07-07,,10.478543695584174,24.11,23.896656525374816
2006-07-08,,10.422417000181204,,23.924351009618793
2006-07-09,,10.375985048877004,,23.902833154982414
2006-07-10,11.57,10.331854487812818,24.125,23.89870759443776
2006-07-11,11.42,10.283549398249447,23.32,23.938068280279783
2006-07-12,11.88,10.307726946134062,23.29,23.95990670056908
2006-07-13,13.335,10.425750414784515,24.28,23.901610137312325
2006-07-14,,10.49126015558547,25.23,23.86615548424691
2006-07-15,,10.432605377188453,25.53,23.797576938414885
2006-07-16,13.82,10.376956003986132,25.83,23.860512518376694
2006-07-17,12.92,10.32480063604393,25.75,23.848447217133398
2006-07-18,11.41,10.276234145522276,26.02,23.942983773378906
2006-07-19,12.52,10.231097813736474,25.55,23.960625447341023
2006-07-20,12.78,10.189090023015888,25.45,24.0470716245868
2006-07-21,,10.047958493302417,,24.224051880047732
2006-07-22,,9.832062825604638,,24.423375515590777
2006-07-23,,9.596006547623213,,24.62609953522294
2006-07-24,8.5,9.383723598138358,24.2,24.625683442842508
2006-07-25,12.73,9.285845388065827,24.86,24.615411564055723
2006-07-26,12.39,9.192252490415868,24.79,24.585017990496272
2006-07-27,13.01,9.139291391919523,25.35,24.524482060300215
2006-07-28,12.31,9.073637033600853,24.91,24.4639263817903
2006-07-29,13.89,9.01179216921941,25.9,24.363092409738464
2006-07-30,13.89,8.943673374958522,,24.21796296969473
2006-07-31,13.67,8.881655491252967,26.03,24.104489617508264
2006-08-01,,8.842004728238628,,23.991607796211422
2006-08-02,,8.733126226959119,,23.783059172147823
2006-08-03,,8.616221691278895,,23.569606766194482
2006-08-04,10.37,8.542702410913463,27.29,23.53987682783341
2006-08-05,10.34,8.494642012655664,26.72,23.4290984315944
2006-08-06,9.75,8.481593876021693,26.57,23.28446637350212
2006-08-07,9.49,8.477986248191952,26.36,23.130545259685007
2006-08-08,10.08,8.472104450437996,26.35,22.991161660448817
2006-08-09,10.155,8.468016370224731,25.950000000000003,22.89979608636746
2006-08-10,10.16,8.467432314925597,26.325000000000003,22.84704305851694
2006-08-11,9.34,8.466492093915988,25.59,22.79145683652193
2006-08-12,9.45,8.448579714467568,25.2825,22.750337632219992
2006-08-13,9.8,8.423100885116115,25.08,22.692817682887426
2006-08-14,9.63,8.417227986901711,24.945,22.66438837766255
2006-08-15,9.32,8.446601929898495,24.785,22.637927014877153
2006-08-16,8.17,8.45706060740358,24.9,22.577924289155366
2006-08-17,8.14,8.466822052016886,24.475,22.532765865774024
2006-08-18,7.81,8.475905413092484,24.235,22.467703897598728
2006-08-19,7.49,8.484307437695225,24.085,22.49153965316674
2006-08-20,7.43,8.50217562632656,23.955,22.470576588370943
2006-08-21,7.92,8.498639133437097,24.25,22.60914866968635
2006-08-22,8.09,8.509354363185812,24.21,22.539858725292184
2006-08-23,8.43,8.50320465860328,24.76,22.48404516805621
2006-08-24,8.04,8.50356696192724,24.1625,22.44056305503755
2006-08-25,7.63,8.507490554099135,23.82,22.40779899492002
2006-08-26,7.59,8.511460730757374,23.67,22.384025239872276
2006-08-27,7.46,8.502218282740273,23.565,22.209453589807808
2006-08-28,7.47,8.429466388188743,23.415,21.57924287190471
2006-08-29,7.39,8.374636938771744,23.18,20.88289183603684
2006-08-30,7.73,8.353632491026238,23.15,20.460076532520443
2006-08-31,7.77,8.335046692626358,22.89,20.255476423071407
2006-09-01,7.94,8.314291922997379,22.645,20.15084044133807
2006-09-02,8.32,8.310880698799124,22.555,20.105358696725133
2006-09-03,8.66,8.317020583200081,22.675,20.119889092727803
2006-09-04,8.77,8.329509030860448,22.7,20.123878252127877
2006-09-05,8.56,8.314262707957194,22.49,19.836368061772102
2006-09-06,8.86,8.243496822376807,22.59,18.988996617909233
2006-09-07,9.13,8.201128262735633,22.79,18.353129041426754
2006-09-08,8.86,8.20235455790973,22.465000000000003,17.997936786835652
2006-09-09,8.55,8.21607329019296,22.42,17.575072916245045
2006-09-10,7.91,8.204996739138442,21.305,17.21214713009306
2006-09-11,7.76,8.188687565708172,20.685,16.98703690409349
2006-09-12,7.69,8.181086438288952,20.135,16.84334897614589
2006-09-13,7.74,8.189671486525786,19.66,16.667833942239298
2006-09-14,7.99,8.210754863980696,19.5475,16.60868716814448
2006-09-15,8.09,8.215204326875899,19.51,16.52950107959791
2006-09-16,8.33,8.233316669771625,19.73,16.435522470626886
2006-09-17,8.44,8.249100954496747,19.78,16.285181427591883
2006-09-18,8.32,8.256255263654333,19.52,16.280567383318598
2006-09-19,8.03,8.268449903757224,18.79,16.117168801084524
2006-09-20,7.73,8.288765834022099,18.045,16.07570009755354
2006-09-21,8.25,8.317260870767978,17.805,16.06875202073178
2006-09-22,8.12,8.316175556575608,17.52,16.09093827542133
2006-09-23,8.04,8.310644339303858,17.405,16.056603592865013
2006-09-24,8.01,8.306153140636965,17.259999999999998,15.924364635062979
2006-09-25,8.22,8.31369411944404,17.095,15.68556015896596
2006-09-26,8.21,8.3210333548959,16.97,15.232604335865407
2006-09-27,8.2,8.309347707079235,16.82,14.90300101636855
2006-09-28,8.28,8.262958949229928,16.585,14.544972926870058
2006-09-29,8.32,8.189513442978573,16.325,13.933083821967973
2006-09-30,8.13,8.193959039177281,16.08,13.343949367265747
2006-10-01,8.18,8.225637962917968,16.03,12.904209069875163
2006-10-02,8.7,8.248564220197574,16.255000000000003,12.564021400450969
2006-10-03,8.75,8.285474538791322,16.494999999999997,12.293102319686183
2006-10-04,8.79,8.329737779714996,16.4875,12.012971798662676
2006-10-05,8.85,8.385285514038022,16.32,11.783074558419859
2006-10-06,8.61,8.463722188950673,16.105,11.752396700993422
2006-10-07,9.9,8.622770647618557,16.255000000000003,11.584616633844941
2006-10-08,9.18,8.793072543361566,16.06,11.349091124151531
2006-10-09,8.76,9.06076875973003,15.84,10.959099125694244
2006-10-10,8.31,9.29731695592417,15.5,10.570727177868292
2006-10-11,8.33,9.478763161974555,15.385,10.3162132051337
2006-10-12,7.96,9.666604561802798,14.48,10.145817864187878
2006-10-13,6.9,9.849143178661146,13.58,10.022835469245424
2006-10-14,7.55,9.967831220427625,13.035,9.869127453512775
2006-10-15,7.29,10.02865248432028,12.8,9.695265594589545
2006-10-16,7.83,10.209230448223188,12.53,9.315109634224747
2006-10-17,7.76,10.363062395750713,12.46,8.989090231838572
2006-10-18,,10.412961362159736,,8.820410238620042
2006-10-19,,10.493706025246897,,8.67922449092819
2006-10-20,,10.672731617915343,,8.519393579372174
2006-10-21,,10.893113033312039,,8.414377098149663
2006-10-22,,11.08255851376835,,8.377949266547668
2006-10-23,,11.230655628696791,,8.303050341753655
2006-10-24,,11.264346584889793,,8.270836708477134
2006-10-25,,11.262418821870613,,8.251922416428714
2006-10-26,,11.21278443263485,,8.182579656776548
2006-10-27,,11.20240621924254,,8.13321667959511
2006-10-28,,11.15733318159579,,8.132253145583901
2006-10-29,,11.167701697558796,,8.185451429022535
2006-10-30,9.8,11.161846352918957,9.8,8.190756836504649
2006-10-31,,11.099772985187506,,8.220980941975379
2006-11-01,,11.050646237963,,8.26972529174352
2006-11-02,,10.986181778770467,,8.316060347220528
2006-11-03,,10.984856606643143,,8.250341632793548
2006-11-04,,11.100777528386427,,8.030388127843235
2006-11-05,,11.212205594307177,,7.872120088660974
2006-11-06,,12.554843651074123,,5.07079191527024
2006-11-07,,13.216528099315003,,5.163123090046815
2006-11-08,,13.343108766781105,,5.044818749174029
2006-11-09,,13.371257212493544,,5.041441328240557
2006-11-10,,13.363458760800816,,5.125411158780693
2006-11-11,,13.331288705229142,,5.20414814541058
2006-11-12,,13.305594813901209,,5.240532806279946
2006-11-13,,13.287670036473553,,5.283003162660522
2006-11-14,,12.66036776245624,,6.997161398491032
2006-11-15,,12.687500310384813,,6.958169041665689
2006-11-16,,12.646560587162707,,7.004099027076975
2006-11-17,,12.587641216248397,,7.108557044353999
2006-11-18,,12.546706280364809,,7.211376410843613
2006-11-19,,12.59430077238304,,7.235441797968157
2006-11-20,,12.587496245817906,,7.398260675337767
2006-11-21,,12.608738403333646,,7.320187323906257
2006-11-22,,12.553124260032723,,7.313603787180488
2006-11-23,,12.51456089799934,,7.35622202628347
2006-11-24,,12.453253381678419,,7.445559264825983
2006-11-25,,12.501403818726029,,7.460257521496477
2006-11-26,,12.6320468498049,,7.387960781501084
