epoch,training_cost,validation_cost,lr_per_epoch
1,1.1385130916568016,1.0548821863006144,0.0008799269593971269
2,1.0953037822418075,0.9443919571006999,0.0008799269593971269
3,0.8074635250105274,0.6464868626173805,0.0008799269593971269
4,0.6974821974047654,0.6009446364991805,0.0008799269593971269
5,0.6391170527652014,0.554307205712094,0.0008799269593971269
6,0.5917723608209933,0.5380854580332252,0.0008799269593971269
7,0.5702627994280924,0.5249001760693157,0.0008799269593971269
8,0.554715172528363,0.512593752321075,0.0008799269593971269
9,0.5367766826701679,0.4923098052249235,0.0008799269593971269
10,0.5162767182580001,0.475756948485094,0.0008799269593971269
11,0.5004018154129278,0.46580145288916197,0.0008799269593971269
12,0.4886554036316254,0.46316414194948535,0.0008799269593971269
13,0.47999765273692796,0.4631613773458144,0.0008799269593971269
14,0.4737044251222405,0.46370837793630715,0.0008799269593971269
15,0.4688643382178794,0.46482434342889223,0.0008799269593971269
16,0.46500797741275895,0.46657874303705554,0.0008799269593971269
17,0.4695773935682482,0.44272218907580657,8.79926959397127e-05
18,0.4566355502809123,0.4320582712397856,8.79926959397127e-05
19,0.4524915921066305,0.4282352854223812,8.79926959397127e-05
20,0.4508185317244032,0.4266867812942056,8.79926959397127e-05
21,0.44979598445536423,0.42586391112383676,8.79926959397127e-05
22,0.4490258640227772,0.4253002352574292,8.79926959397127e-05
23,0.44838313486346665,0.4248715779360603,8.79926959397127e-05
24,0.44781734596053474,0.42452650911667766,8.79926959397127e-05
25,0.44730257307239574,0.4242383732515223,8.79926959397127e-05
26,0.44682396963077914,0.4239916433306301,8.79926959397127e-05
27,0.44637234697935824,0.4237767335246591,8.79926959397127e-05
28,0.4459415937123968,0.42358656315242543,8.79926959397127e-05
29,0.4455276742952762,0.42341652863165913,8.79926959397127e-05
30,0.4451278724955569,0.4232635690885432,8.79926959397127e-05
31,0.44474027423764306,0.4231252933249754,8.79926959397127e-05
32,0.4443634889162273,0.4229996449807111,8.79926959397127e-05
33,0.44399637954054977,0.42288605956470265,8.79926959397127e-05
34,0.4436379944061418,0.4227834519217996,8.79926959397127e-05
35,0.4432875637045438,0.42269017766503725,8.79926959397127e-05
36,0.4429445867594197,0.42260507099768696,8.79926959397127e-05
37,0.44260891447875567,0.4225234319182003,8.79926959397127e-05
38,0.4422795863808702,0.42244471872554107,8.79926959397127e-05
39,0.44195632856312417,0.42237134540782256,8.79926959397127e-05
40,0.4416393796585018,0.42230308055877686,8.79926959397127e-05
41,0.4413285735565767,0.4222392597619225,8.79926959397127e-05
42,0.4410237111285222,0.4221792221069336,8.79926959397127e-05
43,0.4407246052120015,0.42212261171901927,8.79926959397127e-05
44,0.44043100246047373,0.4220689780571881,8.79926959397127e-05
45,0.4401425812393427,0.4220179144073935,8.79926959397127e-05
46,0.4398583666615778,0.4219692314372343,8.79926959397127e-05
47,0.4395790217350498,0.42192401079570546,8.79926959397127e-05
48,0.4393046311900127,0.4218821315204396,8.79926959397127e-05
49,0.4390351033682446,0.4218429625034332,8.79926959397127e-05
50,0.4387702810437345,0.4218061171910342,8.79926959397127e-05
51,0.4385099988028729,0.4217715158182032,8.79926959397127e-05
52,0.43825413096401333,0.42173879725091595,8.79926959397127e-05
53,0.4380025096880875,0.42170791853876677,8.79926959397127e-05
54,0.43775501552460006,0.4216796974925434,8.79926959397127e-05
55,0.4375116005539894,0.42165369233664346,8.79926959397127e-05
56,0.4372721889572178,0.4216295954059152,8.79926959397127e-05
57,0.4370366608013781,0.4216072042198742,8.79926959397127e-05
58,0.43680476981530086,0.4215882701032302,8.79926959397127e-05
59,0.43657677915456483,0.42157268085900473,8.79926959397127e-05
60,0.4363526434724708,0.421559659873738,8.79926959397127e-05
61,0.4361321666418648,0.42154865931062135,8.79926959397127e-05
62,0.43591524515863805,0.4215383643613142,8.79926959397127e-05
63,0.4357016020112758,0.4215305710540098,8.79926959397127e-05
64,0.4354912925699203,0.4215249848716399,8.79926959397127e-05
65,0.43433194039322487,0.42129461116650524,8.79926959397127e-06
66,0.4342627348177296,0.4210844048682381,8.79926959397127e-06
67,0.43420173080383445,0.4209027211455738,8.79926959397127e-06
68,0.43414765679471784,0.4207456795608296,8.79926959397127e-06
69,0.43409918433577893,0.42060960653950186,8.79926959397127e-06
70,0.43405515984665577,0.42049174887292523,8.79926959397127e-06
71,0.43401474492262593,0.4203896338448805,8.79926959397127e-06
72,0.43397729120237366,0.42030109377468333,8.79926959397127e-06
73,0.4339422242675754,0.4202243142268237,8.79926959397127e-06
74,0.4339091519175245,0.42015767272780924,8.79926959397127e-06
75,0.433877740028522,0.42009975454386544,8.79926959397127e-06
76,0.4338476595421918,0.42004942981635823,8.79926959397127e-06
77,0.4338187020030811,0.4200060858446009,8.79926959397127e-06
78,0.4337907776558142,0.4199688408304663,8.79926959397127e-06
79,0.43376374518056565,0.41993649829836455,8.79926959397127e-06
80,0.4337374002223821,0.4199085358311148,8.79926959397127e-06
81,0.4337117114245034,0.4198843100491692,8.79926959397127e-06
82,0.4336865770516636,0.41986331781920266,8.79926959397127e-06
83,0.43366189796825966,0.41984491313205047,8.79926959397127e-06
84,0.433637621671819,0.4198288242606556,8.79926959397127e-06
85,0.4336137115794549,0.41981477684834423,8.79926959397127e-06
86,0.43359011556390376,0.41980242378571453,8.79926959397127e-06
87,0.43356679712268087,0.41979153016034293,8.79926959397127e-06
88,0.4335437176896514,0.4197818733313504,8.79926959397127e-06
89,0.4335208566015144,0.4197732736082638,8.79926959397127e-06
90,0.4334981989303081,0.41976555831292095,8.79926959397127e-06
91,0.433475725513568,0.4197586459272048,8.79926959397127e-06
92,0.43345341946688487,0.41975243652568145,8.79926959397127e-06
93,0.4333179951678935,0.41974960092236013,8.799269593971271e-07
94,0.43331554373927256,0.4197466741589939,8.799269593971271e-07
95,0.4333130973759744,0.4197438087533502,8.799269593971271e-07
96,0.43331065106627753,0.4197409740265678,8.799269593971271e-07
97,0.43329669036667984,0.4197407145710552,8.799269593971272e-08
98,0.43329642873873814,0.4197404717697817,8.799269593971272e-08
99,0.43329615802537624,0.419740196536569,8.799269593971272e-08
100,0.4332958943337845,0.4197399432168287,8.799269593971272e-08
